Condensed Milk,Condensed Milk,ml,2026-09-11,213.17,213.17,54.65,507.99,"(2, 1, 0)","(1, 1, 1, 5)",2218.44,2242.55,57.89,67.32,60.52,49.87
Condensed Milk,Condensed Milk,ml,2026-09-14,168.74,168.74,30.45,456.21,"(2, 1, 0)","(1, 1, 1, 5)",2218.44,2242.55,57.89,67.32,60.52,49.87
Condensed Milk,Condensed Milk,ml,2026-09-15,194.65,194.65,35.42,525.17,"(2, 1, 0)","(1, 1, 1, 5)",2218.44,2242.55,57.89,67.32,60.52,49.87
Cream,Cream,L,2026-09-07,0.32,0.32,0.06,0.78,"(2, 1, 2)","(0, 0, 0, 5)",-807.44,-783.2,0.11,0.13,38.91,32.57
Cream,Cream,L,2026-09-08,0.34,0.34,0.07,0.84,"(2, 1, 2)","(0, 0, 0, 5)",-807.44,-783.2,0.11,0.13,38.91,32.57
Cream,Cream,L,2026-09-09,0.33,0.33,0.06,0.81,"(2, 1, 2)","(0, 0, 0, 5)",-807.44,-783.2,0.11,0.13,38.91,32.57
Cream,Cream,L,2026-09-10,0.33,0.33,0.07,0.82,"(2, 1, 2)","(0, 0, 0, 5)",-807.44,-783.2,0.11,0.13,38.91,32.57
Cream,Cream,L,2026-09-11,0.33,0.33,0.06,0.82,"(2, 1, 2)","(0, 0, 0, 5)",-807.44,-783.2,0.11,0.13,38.91,32.57
Cream,Cream,L,2026-09-14,0.33,0.33,0.07,0.82,"(2, 1, 2)","(0, 0, 0, 5)",-807.44,-783.2,0.11,0.13,38.91,32.57
Cream,Cream,L,2026-09-15,0.33,0.33,0.06,0.82,"(2, 1, 2)","(0, 0, 0, 5)",-807.44,-783.2,0.11,0.13,38.91,32.57
Crepe Batter,Crepe Batter,kg,2026-09-07,1.19,1.19,0.39,2.76,"(2, 1, 2)","(1, 1, 0, 5)",-162.47,-134.34,0.42,0.52,31.0,32.7
Crepe Batter,Crepe Batter,kg,2026-09-08,1.61,1.61,0.61,3.65,"(2, 1, 2)","(1, 1, 0, 5)",-162.47,-134.34,0.42,0.52,31.0,32.7
Crepe Batter,Crepe Batter,kg,2026-09-09,1.3,1.3,0.44,2.99,"(2, 1, 2)","(1, 1, 0, 5)",-162.47,-134.34,0.42,0.52,31.0,32.7
Crepe Batter,Crepe Batter,kg,2026-09-10,1.37,1.37,0.48,3.16,"(2, 1, 2)","(1, 1, 0, 5)",-162.47,-134.34,0.42,0.52,31.0,32.7
Crepe Batter,Crepe Batter,kg,2026-09-11,2.21,2.21,0.91,5.02,"(2, 1, 2)","(1, 1, 0, 5)",-162.47,-134.34,0.42,0.52,31.0,32.7
Crepe Batter,Crepe Batter,kg,2026-09-14,1.36,1.36,0.39,3.51,"(2, 1, 2)","(1, 1, 0, 5)",-162.47,-134.34,0.42,0.52,31.0,32.7
Crepe Batter,Crepe Batter,kg,2026-09-15,1.56,1.56,0.49,3.97,"(2, 1, 2)","(1, 1, 0, 5)",-162.47,-134.34,0.42,0.52,31.0,32.7
Egg,Egg,pcs,2026-09-07,35.29,35.29,22.88,59.58,"(0, 1, 1)","(1, 0, 0, 5)",-1316.73,-1300.59,6.26,7.14,16.17,16.75
